idno,experiment_hash,epoch_seconds,fold,logits_threshold,wake_acc,sleep_acc,max_X,min_X,mean_X,median_X,std_X
759667,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,18,1.1767976,0.29444444444444445,0.95,1.0,0.0,0.0042175579395109224,7.635747378973274e-07,0.045941600605763494
781756,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,19,0.5566889,0.3281124497991968,0.9499442586399108,1.0,0.0,0.014506446172850967,0.0006932331272463048,0.07412836207598228
8000685,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,20,1.7082057,0.22727272727272727,0.949963924963925,1.0,0.0,0.006351085020945216,0.00020229458984696196,0.04938705397706274
8173033,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,21,1.8040986,0.7379310344827587,0.9499640028797696,1.0,0.0,0.009736132018303978,0.0003283414050926754,0.06602894235132804
8258170,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,22,2.1751444,0.25719298245614036,0.9499238964992389,1.0,0.0,0.003140593085606067,0.0,0.0392958708257179
844359,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,23,0.8424363,0.33584229390681003,0.9499170812603649,1.0,0.0,0.011136577003949101,0.00014627164330628957,0.07375056834500178
8530312,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,24,0.20607288,0.22393162393162394,0.9500575373993095,1.0,0.0,0.01357001848315158,0.000391258875670875,0.07602066853143219
8686948,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,25,1.838367,0.5081632653061224,0.9499632082413539,1.0,0.0,0.00842695632638307,0.00019178006003115448,0.0603826127488601
8692923,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,26,1.5569162,0.050606060606060606,0.949939393939394,1.0,0.0,0.009877633974855589,0.0005060733186138917,0.06682459273329153
9106476,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,27,1.3768003,0.1532567049808429,0.9499045437189767,1.0,0.0,0.006241634716229514,0.00016071496515001566,0.05142720151950418
9618981,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,28,1.3859978,0.08049645390070923,0.9500392156862745,1.0,0.0,0.005658439602878092,5.948150674292882e-05,0.051843155870513004
9961348,e96073a799a1618afad02120a9e0e5e50467ca13,1743186192,29,0.08999079,0.3557142857142857,0.9500256805341551,1.0,0.0,0.011784920930592168,0.00019412392327328198,0.07659149045769882
